Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-March-2026,54.00,54.00,51.30,51.67,52.221602902309178532,503599,2020,26298747.00,362937,72.07,2.70,-2.33
27-March-2026,55.94,56.23,54.35,54.83,55.225305556122344875,245045,1517,13532685.00,112360,45.85,1.88,-1.11
25-March-2026,56.11,57.83,56.11,56.99,57.312106883366897028,112721,664,6460278.00,52919,46.95,1.72,0.88
24-March-2026,56.50,56.51,54.70,56.06,55.386371516202160288,112485,740,6230136.00,53216,47.31,1.81,-0.44
23-March-2026,55.63,55.85,53.33,54.45,54.231223554301833568,90752,1184,4921592.00,38998,42.97,2.52,-1.18
20-March-2026,56.20,57.19,55.60,57.01,56.471583510455083884,119033,576,6721982.00,73752,61.96,1.59,0.81
19-March-2026,58.22,58.23,56.05,56.11,56.620711028843622901,117773,1475,6668391.00,49477,42.01,2.18,-2.11
18-March-2026,55.25,58.39,55.25,58.22,57.507429233403848091,79416,592,4567010.00,39854,50.18,3.14,2.97
17-March-2026,56.10,56.78,55.55,55.83,56.175562038784966535,64097,442,3600685.00,25543,39.85,1.23,-0.27
16-March-2026,56.27,56.31,54.70,56.04,55.420721371700241087,148079,1320,8206645.00,64739,43.72,1.61,-0.23
13-March-2026,56.77,56.95,55.01,56.40,55.990698554249425753,185025,1027,10359679.00,89973,48.63,1.94,-0.37
12-March-2026,57.52,57.52,56.33,56.77,56.742895893058725118,123133,1561,6986923.00,67263,54.63,1.19,-0.75
11-March-2026,58.62,59.48,57.80,58.11,58.561602216967940406,78666,1224,4606807.00,29578,37.60,1.68,-0.51
10-March-2026,58.22,59.09,57.09,58.28,57.854117725648248143,89819,957,5196399.00,35860,39.92,2.00,0.06
9-March-2026,58.59,58.62,56.84,58.12,57.696545364729128931,151825,2254,8759778.00,65641,43.23,1.78,-0.47
6-March-2026,57.70,61.04,57.70,59.72,60.054850282469234711,169753,1570,10194491.00,48259,28.43,3.34,2.02
5-March-2026,58.10,59.01,56.80,57.63,57.627816430518172430,118146,1771,6808496.00,37736,31.94,2.21,-0.47
4-March-2026,58.02,60.50,57.80,58.08,58.978679528256868225,293380,3229,17303165.00,126172,43.01,2.70,0.06
2-March-2026,56.61,63.59,56.61,61.58,62.168731122593952915,190042,1914,11814670.00,88918,46.79,6.98,4.97
27-February-2026,64.34,65.69,63.45,64.24,64.741593001524897098,87219,985,5646697.00,39112,44.84,2.24,-0.10
26-February-2026,65.80,66.62,65.16,65.99,65.929116973150813700,34042,499,2244359.00,15094,44.34,1.46,0.19
25-February-2026,64.57,66.50,64.39,65.78,65.867312654896650399,156556,1391,10311923.00,90742,57.96,2.11,1.21
24-February-2026,65.15,66.06,64.75,65.26,65.442094477431559035,76124,863,4981714.00,31273,41.08,1.31,0.11
23-February-2026,68.95,68.95,65.13,66.60,66.290193389637186174,156058,1295,10345115.00,61139,39.18,3.82,-2.35
20-February-2026,67.00,68.19,66.88,67.40,67.492064816268844221,203776,643,13753263.00,178657,87.67,1.31,0.40
19-February-2026,68.00,68.62,66.64,66.90,67.458391069627199059,90209,1201,6085354.00,38913,43.14,1.98,-1.10
18-February-2026,69.17,69.25,67.70,68.00,68.546236330012709187,131401,1233,9007044.00,71688,54.56,1.55,-1.17
17-February-2026,68.00,69.66,68.00,69.24,69.102510881411702637,144053,1370,9954424.00,58807,40.82,1.66,1.24
16-February-2026,68.69,68.69,67.00,68.42,67.770795341699015979,110770,1058,7506971.00,40843,36.87,1.69,-0.27
13-February-2026,68.54,69.27,66.61,68.62,67.815310816998451911,229315,1640,15551068.00,92931,40.53,2.66,0.08
12-February-2026,68.30,69.20,67.26,68.85,68.578711667913238593,320880,4333,22005537.00,198755,61.94,1.94,0.55
11-February-2026,67.27,69.90,67.27,68.24,68.252484507255139056,105856,809,7224935.00,61846,58.42,2.63,0.97
10-February-2026,67.10,68.92,66.61,68.73,68.102000247198417930,97088,1034,6611887.00,41506,42.75,2.31,1.63
9-February-2026,64.05,67.50,64.05,67.05,66.328749543179133272,117661,1333,7804307.00,55206,46.92,3.45,3.00
6-February-2026,66.09,66.09,64.40,64.99,64.813202175358439742,117314,727,7603496.00,81282,69.29,1.69,-1.10
5-February-2026,65.01,66.39,65.01,66.01,65.861606381567728366,105554,789,6951956.00,44512,42.17,1.38,1.00
4-February-2026,66.11,67.51,65.52,66.06,66.377121288221237995,131406,1003,8722352.00,78156,59.48,1.99,-0.05
3-February-2026,70.80,71.10,66.21,67.03,68.324578376497732419,163831,1189,11193684.00,92823,56.66,4.89,-3.77
2-February-2026,68.66,70.54,66.76,68.81,68.838400560154042361,199945,1976,13763894.00,114174,57.10,3.78,0.15
1-February-2026,67.04,70.42,66.54,68.56,68.684084784448126053,140639,1268,9659661.00,54045,38.43,3.88,1.52
30-January-2026,68.01,70.90,67.78,70.01,69.625149725546563343,192018,1827,13369282.00,95324,49.64,3.12,2.00
29-January-2026,68.41,71.60,67.77,69.61,69.736107648018859370,352928,2625,24611825.00,139844,39.62,3.83,1.20
28-January-2026,67.83,70.19,67.83,69.58,69.562164220580062164,97162,841,6758799.00,38582,39.71,2.36,1.75
27-January-2026,72.60,72.60,69.07,69.67,70.805387726823503041,490745,4358,34747390.00,276019,56.24,3.53,-2.93
23-January-2026,70.22,73.42,69.94,71.02,71.675721369526652673,732253,4513,52484762.00,280244,38.27,3.48,0.80
22-January-2026,68.20,70.32,68.20,70.11,69.791739563896765884,257783,2393,17991124.00,158948,61.66,2.12,1.91
21-January-2026,67.21,69.23,66.01,67.89,67.180923332871204769,295733,1880,19867616.00,82884,28.03,3.22,0.68
20-January-2026,69.03,69.25,66.40,67.12,68.220709072727847076,5603177,4713,382252708.00,5065847,90.41,2.85,-1.91
19-January-2026,68.34,69.25,67.85,69.03,68.608456499470607983,116171,759,7970313.00,37820,32.56,1.40,0.69
16-January-2026,68.61,70.00,68.61,69.00,69.024129593599020615,1143575,846,78934269.00,1067589,93.36,1.39,0.39
14-January-2026,67.67,71.00,67.59,69.96,69.121224998402453830,1564900,1274,108167805.00,1440270,92.04,3.41,2.29
13-January-2026,66.72,68.27,66.36,68.04,67.660708592095557617,210135,1092,14217883.00,139174,66.23,1.91,1.32
12-January-2026,67.33,67.33,65.52,66.57,66.191138348932956715,137717,1369,9115645.00,63367,46.01,1.81,-0.76
9-January-2026,66.35,67.70,65.44,66.97,66.747528170018542290,175275,1209,11699173.00,107513,61.34,2.26,0.62
8-January-2026,66.25,67.37,66.00,66.47,66.550989507238677115,150580,1318,10021248.00,74432,49.43,1.37,0.22
7-January-2026,66.62,67.10,65.50,66.55,66.278041172800998128,96180,790,6374622.00,51026,53.05,1.60,-0.07
6-January-2026,67.37,67.37,65.60,66.65,65.928297359379936752,702638,1529,46323727.00,580324,82.59,1.77,-0.72
5-January-2026,65.01,67.25,65.01,66.69,66.603943430750551498,292385,2000,19473994.00,152218,52.06,2.24,1.68
2-January-2026,63.90,66.00,63.38,64.11,64.692222607275610138,210649,1079,13627352.00,86143,40.89,2.62,0.21
1-January-2026,63.00,64.40,61.55,63.93,63.284110844802451137,161884,996,10244685.00,70435,43.51,2.85,0.93
31-December-2025,60.12,63.28,60.12,62.96,62.513482972614159128,161945,1413,10123746.00,61309,37.86,3.16,2.84
30-December-2025,60.01,61.52,60.01,61.02,61.133689455277152302,41746,461,2552087.00,13386,32.07,1.51,1.01
29-December-2025,60.26,61.93,60.26,61.35,61.278653990584528585,54591,597,3345263.00,21622,39.61,1.67,1.09
26-December-2025,61.70,63.47,61.02,61.92,62.313690843195933651,132994,1161,8287347.00,53143,39.96,2.45,0.22
24-December-2025,61.40,62.55,61.22,61.65,61.687791091483767604,1309511,2058,80780841.00,1021938,78.04,1.33,0.25
23-December-2025,61.22,61.84,60.09,61.35,60.901120241470573548,180229,981,10976148.00,99295,55.09,1.75,0.13
22-December-2025,59.41,62.04,58.83,61.64,60.719188105918965898,167411,1131,10165060.00,82898,49.52,3.21,2.23
19-December-2025,57.91,58.92,57.91,58.83,58.548136597045017799,63486,342,3716987.00,45722,72.02,1.01,0.92
18-December-2025,57.53,58.30,57.21,57.90,57.985900176566697246,940721,573,54548554.00,901726,95.85,1.09,0.37
17-December-2025,57.95,58.63,57.76,58.13,58.203422238698222543,102506,489,5966200.00,66273,64.65,0.87,0.18
16-December-2025,59.01,59.02,58.25,58.33,58.508542741443390469,36054,475,2109467.00,21756,60.34,0.77,-0.68
15-December-2025,58.26,59.53,57.83,59.23,58.627541386939273725,209728,1346,12295837.00,123619,58.94,1.70,0.97
12-December-2025,58.50,59.51,58.42,58.75,58.817857468885981194,131452,1129,7731725.00,57566,43.79,1.09,0.25
11-December-2025,58.40,59.89,58.25,59.40,59.128962336413566062,61359,547,3628094.00,20323,33.12,1.64,1.00
10-December-2025,58.22,60.50,58.18,59.69,59.711258508602190223,189661,1394,11324897.00,95188,50.19,2.32,1.47
9-December-2025,58.93,59.75,58.21,58.52,58.748381060703344279,163533,1667,9607299.00,82207,50.27,1.54,-0.41
8-December-2025,59.40,60.59,58.76,59.11,59.432039305685748456,61874,533,3677298.00,20723,33.49,1.83,-0.29
5-December-2025,62.00,62.00,60.34,60.54,61.214546133377106270,1242777,1231,76076030.00,1128961,90.84,1.66,-1.46
4-December-2025,62.24,63.43,62.21,62.28,62.791383339021764813,38089,413,2391661.00,18393,48.29,1.22,0.04
3-December-2025,63.30,63.72,62.50,62.87,62.987832955511476338,621104,1264,39121995.00,573273,92.30,1.22,-0.43
2-December-2025,63.55,64.24,63.15,63.30,63.548338194972718267,182723,1171,11611743.00,112045,61.32,1.09,-0.25
1-December-2025,64.16,64.90,63.05,63.56,63.842472183320765170,64979,639,4148420.00,31111,47.88,1.85,-0.60
28-November-2025,64.30,65.47,64.00,64.13,64.614540895228529714,300683,2130,19428494.00,202174,67.24,1.47,-0.17
27-November-2025,65.78,66.00,65.23,65.64,65.642075158373823728,65036,505,4269098.00,34339,52.80,0.77,-0.14
26-November-2025,64.24,66.00,64.11,65.58,65.381933800237382193,127221,694,8317955.00,66589,52.34,1.89,1.34
25-November-2025,65.00,65.06,63.21,64.24,64.139290927726185669,128788,1030,8260371.00,45795,35.56,1.85,-0.76
24-November-2025,63.17,66.64,63.17,64.95,65.538897612482844743,485274,2596,31804323.00,220970,45.54,3.47,1.78
21-November-2025,63.67,64.19,63.37,63.95,63.880218644335044412,114158,921,7292438.00,76109,66.67,0.82,0.28
20-November-2025,63.56,64.68,63.52,64.30,64.093455511194751745,284285,1658,18220808.00,197361,69.42,1.16,0.74
19-November-2025,64.67,64.67,62.58,64.03,63.452268803048445676,302318,2053,19182763.00,169576,56.09,2.09,-0.64
18-November-2025,64.99,65.07,63.57,64.61,64.470709649255997570,210752,1406,13587331.00,95292,45.22,1.50,-0.38
17-November-2025,60.41,64.95,60.41,64.71,63.524714640367053485,1472265,8401,93525214.00,895131,60.80,4.54,4.30
14-November-2025,58.57,60.20,58.04,60.07,59.324778253684530032,118604,981,7036156.00,55010,46.38,2.16,1.50
13-November-2025,58.01,59.83,57.97,58.52,58.847968860367603961,133078,1153,7831370.00,59980,45.07,1.86,0.51
12-November-2025,58.02,58.93,57.80,58.00,58.384841000308737264,45346,570,2647519.00,19578,43.17,1.13,-0.02
11-November-2025,59.51,60.01,58.25,58.32,58.812199807877041306,56214,564,3306069.00,39685,70.60,1.76,-1.19
10-November-2025,60.04,60.82,59.29,59.51,59.900717775803585850,198112,2012,11867051.00,110895,55.98,1.53,-0.53
7-November-2025,60.64,61.16,59.43,60.67,60.395026931755160337,131629,1529,7949737.00,45488,34.56,1.73,0.03
6-November-2025,60.49,60.90,59.15,60.62,60.036051365219471991,112839,1063,6774408.00,41581,36.85,1.75,0.13
4-November-2025,60.81,61.30,59.96,60.35,60.467725832470692092,380614,2087,23014863.00,234666,61.65,1.34,-0.46
3-November-2025,57.26,61.13,57.26,60.78,60.177945803308636963,492650,2495,29646665.00,195032,39.59,3.87,3.52
31-October-2025,59.33,61.69,56.71,56.97,59.163670470533062372,626906,3972,37090060.00,276708,44.14,4.98,-2.36
30-October-2025,60.96,60.96,59.00,59.33,59.534141280769593511,63618,418,3787443.00,35570,55.91,1.96,-1.63
29-October-2025,59.58,60.32,58.92,60.10,59.825833265578443423,209087,2044,12508804.00,133459,63.83,1.40,0.52
28-October-2025,59.65,61.81,59.57,60.19,60.524236151677545526,157492,1452,9532083.00,65402,41.53,2.24,0.54
27-October-2025,59.80,60.46,59.37,59.55,59.703871533578349482,239440,1261,14295495.00,113709,47.49,1.09,-0.25
24-October-2025,58.21,60.47,57.80,59.69,59.291427810380932680,352897,6422,20923767.00,243552,69.02,2.67,1.48
23-October-2025,58.81,59.34,57.96,58.24,58.582337771412881377,185741,7790,10881142.00,135635,73.02,1.38,-0.57
21-October-2025,58.41,59.34,58.40,58.67,58.841314781596936054,103135,1075,6068599.00,70718,68.57,0.94,0.26
20-October-2025,56.16,58.90,55.94,58.36,57.721556551202459973,223417,1147,12895977.00,95848,42.90,2.96,2.20
17-October-2025,55.60,56.36,54.77,56.13,55.486909918130759443,77807,733,4317270.00,31130,40.01,1.59,0.53
16-October-2025,55.31,56.05,55.02,55.49,55.489669770189305504,142204,1067,7890853.00,96431,67.81,1.03,0.18
15-October-2025,55.15,55.75,55.09,55.26,55.340313244807626830,58740,692,3250690.00,23889,40.67,0.66,0.11
14-October-2025,55.72,55.92,55.00,55.24,55.356552865497951878,133537,872,7392148.00,67354,50.44,0.92,-0.48
13-October-2025,54.04,56.02,54.04,55.71,55.488418070760423736,135556,1323,7521788.00,78078,57.60,1.98,1.67
10-October-2025,55.81,56.33,55.60,56.19,56.023571177279559919,62534,995,3503378.00,31823,50.89,0.73,0.38
9-October-2025,56.27,56.90,55.11,55.77,55.694947891575975049,2202427,2166,122664057.00,2094930,95.12,1.79,-0.50
8-October-2025,57.06,58.00,56.77,57.07,57.057550938873351977,50060,885,2856301.00,23622,47.19,1.23,0.01
7-October-2025,58.74,58.74,57.26,57.51,57.613128766811634534,492293,1896,28362540.00,377403,76.66,1.48,-1.23
6-October-2025,57.35,58.50,57.35,57.99,58.111802834959754968,140390,902,8158316.00,76136,54.23,1.15,0.64
